Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17360_W11_C_Taes_R13_3of3_External_1x1_d_c,17360,Nikon,1x,1,W11,C,R13,Top,3of3,External,Taes,d,c
17361_W11_C_Taes_R13_3of3_External_1x1_l_c,17361,Nikon,1x,1,W11,C,R13,Top,3of3,External,Taes,l,c
17544_TRI29935_A_Taes_R1_1of3_External_1x1_d_uc,17544,Nikon,1x,1,TRI29935,A,R1,Base,1of3,External,Taes,d,c
17545_TRI29935_A_Taes_R1_1of3_External_1x1_l_c,17545,Nikon,1x,1,TRI29935,A,R1,Base,1of3,External,Taes,l,c
17546_TRI29935_A_Taes_R1_2of3_Internal_1x1_d_c,17546,Nikon,1x,1,TRI29935,A,R1,Base,2of3,Internal,Taes,d,c
17547_TRI29935_A_Taes_R1_2of3_Internal_1x1_l_c,17547,Nikon,1x,1,TRI29935,A,R1,Base,2of3,Internal,Taes,l,c
17548_TRI29935_A_Taes_R2_1of3_External_1x1_d_c,17548,Nikon,1x,1,TRI29935,A,R2,Base,1of3,External,Taes,d,c
17549_TRI29935_A_Taes_R2_1of3_External_1x1_l_c,17549,Nikon,1x,1,TRI29935,A,R2,Base,1of3,External,Taes,l,c
17550_TRI29935_A_Taes_R8_1of3_External_1x1_d_c,17550,Nikon,1x,1,TRI29935,A,R8,Mid,1of3,External,Taes,d,c
17551_TRI29935_A_Taes_R8_1of3_External_1x1_l_c,17551,Nikon,1x,1,TRI29935,A,R8,Mid,1of3,External,Taes,l,c
17552_TRI29935_A_Taes_R8_2of3_Internal_1x1_d_c,17552,Nikon,1x,1,TRI29935,A,R8,Mid,2of3,Internal,Taes,d,c
17553_TRI29935_A_Taes_R8_2of3_Internal_1x1_l_c,17553,Nikon,1x,1,TRI29935,A,R8,Mid,2of3,Internal,Taes,l,c
17554_TRI29935_A_Taes_R9_3of3_External_1x1_d_c,17554,Nikon,1x,1,TRI29935,A,R9,Mid,3of3,External,Taes,d,c
