Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17744_K1149_C_Tdur_Turkey_R1_2of3_Internal_1x1_d_c,17744,Nikon,1x,1,K1149,C,R1,Base,2of3,Internal,Tdur_Turkey,d,c
17745_K1149_C_Tdur_Turkey_R1_2of3_Internal_1x1_l_c,17745,Nikon,1x,1,K1149,C,R1,Base,2of3,Internal,Tdur_Turkey,l,c
17746_K1149_C_Tdur_Turkey_R1_3of3_External_1x1_d_c,17746,Nikon,1x,1,K1149,C,R1,Base,3of3,External,Tdur_Turkey,d,c
17747_K1149_C_Tdur_Turkey_R1_3of3_External_1x1_l_c,17747,Nikon,1x,1,K1149,C,R1,Base,3of3,External,Tdur_Turkey,l,c
17748_K1149_C_Tdur_Turkey_R8_1of4_External_1x1_d_c,17748,Nikon,1x,1,K1149,C,R8,Mid,1of4,External,Tdur_Turkey,d,c
17749_K1149_C_Tdur_Turkey_R8_1of4_External_1x1_l_c,17749,Nikon,1x,1,K1149,C,R8,Mid,1of4,External,Tdur_Turkey,l,c
17750_K1149_C_Tdur_Turkey_R8_2of4_Internal_1x1_d_c,17750,Nikon,1x,1,K1149,C,R8,Mid,2of4,Internal,Tdur_Turkey,d,c
17751_K1149_C_Tdur_Turkey_R8_2of4_Internal_1x1_l_c,17751,Nikon,1x,1,K1149,C,R8,Mid,2of4,Internal,Tdur_Turkey,l,c
17752_K1149_C_Tdur_Turkey_R8_3of4_Internal_1x1_d_c,17752,Nikon,1x,1,K1149,C,R8,Mid,3of4,Internal,Tdur_Turkey,d,c
17753_K1149_C_Tdur_Turkey_R8_3of4_Internal_1x1_l_c,17753,Nikon,1x,1,K1149,C,R8,Mid,3of4,Internal,Tdur_Turkey,l,c
17754_K1149_C_Tdur_Turkey_R16_1of3_External_1x1_d_c,17754,Nikon,1x,1,K1149,C,R16,Top,1of3,External,Tdur_Turkey,d,c
17755_K1149_C_Tdur_Turkey_R16_1of3_External_1x1_l_c,17755,Nikon,1x,1,K1149,C,R16,Top,1of3,External,Tdur_Turkey,l,c
17756_K1149_C_Tdur_Turkey_R16_2of3_Internal_1x1_d_c,17756,Nikon,1x,1,K1149,C,R16,Top,2of3,Internal,Tdur_Turkey,d,c
17757_K1149_C_Tdur_Turkey_R16_2of3_Internal_1x1_l_c,17757,Nikon,1x,1,K1149,C,R16,Top,2of3,Internal,Tdur_Turkey,l,c
17758_K1149_C_Tdur_Turkey_R16_3of3_External_1x1_d_c,17758,Nikon,1x,1,K1149,C,R16,Top,3of3,External,Tdur_Turkey,d,c
17759_K1149_C_Tdur_Turkey_R16_3of3_External_1x1_l_c,17759,Nikon,1x,1,K1149,C,R16,Top,3of3,External,Tdur_Turkey,l,c
17778_CGN6554_A_Tdur_R1_1of2_External_1x1_d_c,17778,Nikon,1x,1,CGN6554,A,R1,Base,1of2,External,Tdur_Cyprus,d,c
17779_CGN6554_A_Tdur_R1_1of2_External_1x1_l_c,17779,Nikon,1x,1,CGN6554,A,R1,Base,1of2,External,Tdur_Cyprus,l,c
17780_CGN6554_A_Tdur_R1_2of2_External_1x1_d_c,17780,Nikon,1x,1,CGN6554,A,R1,Base,2of2,External,Tdur_Cyprus,d,c
17781_CGN6554_A_Tdur_R1_2of2_External_1x1_l_c,17781,Nikon,1x,1,CGN6554,A,R1,Base,2of2,External,Tdur_Cyprus,l,c
17782_CGN6554_A_Tdur_R2_1of2_External_1x1_d_c,17782,Nikon,1x,1,CGN6554,A,R2,Base,1of2,External,Tdur_Cyprus,d,c
17783_CGN6554_A_Tdur_R2_1of2_External_1x1_l_c,17783,Nikon,1x,1,CGN6554,A,R2,Base,1of2,External,Tdur_Cyprus,l,c
17784_CGN6554_A_Tdur_R8_1of2_External_1x1_d_c,17784,Nikon,1x,1,CGN6554,A,R8,Mid,1of2,External,Tdur_Cyprus,d,c
17785_CGN6554_A_Tdur_R8_1of2_External_1x1_l_c,17785,Nikon,1x,1,CGN6554,A,R8,Mid,1of2,External,Tdur_Cyprus,l,c
17786_CGN6554_A_Tdur_R8_2of2_External_1x1_d_c,17786,Nikon,1x,1,CGN6554,A,R8,Mid,2of2,External,Tdur_Cyprus,d,c
